Id_campaña, nom_campaña, fecha_ini, fecha_fin, dir_url, modalidad, archivo, desc_campaña, Id_equipo_mark, Id_gest_mark
100067,'campaña inicio noviembre 2023','2023-11-07','2023-11-14','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100067.jpg',0.30,16,1005
100068,'campaña black friday 2023','2023-11-14','2023-11-21','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100068.mp4',0.45,17,1005
100069,'campaña fin de noviembre 2023','2023-11-21','2023-11-28','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100069.jpg',0.35,18,1005
100070,'campaña inicio diciembre 2023','2023-11-28','2023-12-05','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100070.jpg',0.30,16,1005
100071,'campaña navidad 2023','2023-12-05','2023-12-12','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100071.mp4',0.25,14,1005
100072,'campaña diciembre 2 2023','2023-12-12','2023-12-19','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100072.jpg',0.35,17,1005
100073,'campaña fin de diciembre 2023','2023-12-19','2023-12-26','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100073.jpg',0.40,18,1005
100074,'campaña inicio año nuevo 2024','2023-12-26','2024-01-02','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100074.jpg',0.45,15,1005
100075,'campaña enero 2024','2024-01-02','2024-01-09','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100075.mp4',0.30,16,1005
100076,'campaña inicio enero 2024','2024-01-09','2024-01-16','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100076.jpg',0.25,14,1005
100077,'campaña año nuevo chino 2024','2024-01-16','2024-01-23','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100077.mp4',0.20,13,1005
100078,'campaña fin de enero 2024','2024-01-23','2024-01-30','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100078.jpg',0.35,15,1005
100079,'campaña inicio febrero 2024','2024-01-30','2024-02-06','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100079.jpg',0.40,17,1005
100080,'campaña día de la amistad 2024','2024-02-06','2024-02-13','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100080.mp4',0.45,18,1005
100081,'campaña febrero 2024','2024-02-13','2024-02-20','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100081.jpg',0.30,16,1005
100082,'campaña fin de febrero 2024','2024-02-20','2024-02-27','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100082.jpg',0.25,14,1005
100083,'campaña marzo 2024','2024-02-27','2024-03-05','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100083.mp4',0.20,13,1005
100084,'campaña inicio marzo 2024','2024-03-05','2024-03-12','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100084.jpg',0.35,15,1005
100085,'campaña día de la mujer 2024','2024-03-12','2024-03-19','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100085.mp4',0.40,17,1005
100086,'campaña marzo 2 2024','2024-03-19','2024-03-26','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100086.jpg',0.45,18,1005
100087,'campaña fin de marzo 2024','2024-03-26','2024-04-02','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100087.mp4',0.30,16,1005
100088,'campaña abril 2024','2024-04-02','2024-04-09','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100088.jpg',0.25,14,1005
100089,'campaña inicio abril 2024','2024-04-09','2024-04-16','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100089.mp4',0.20,13,1005
100090,'campaña semana santa 2024','2024-04-16','2024-04-23','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100090.jpg',0.35,15,1005
100091,'campaña abril 2 2024','2024-04-23','2024-04-30','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100091.mp4',0.40,16,1005
100092,'campaña fin de abril 2024','2024-04-30','2024-05-07','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100092.jpg',0.45,17,1005
100093,'campaña mayo 2024','2024-05-07','2024-05-14','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100093.mp4',0.30,18,1005
100094,'campaña inicio mayo 2024','2024-05-14','2024-05-21','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100094.jpg',0.25,14,1005
100095,'campaña día de la madre 2024','2024-05-21','2024-05-28','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100095.mp4',0.20,13,1005
100096,'campaña mayo 2 2024','2024-05-28','2024-06-04','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100096.jpg',0.35,15,1005
100097,'campaña fin de mayo 2024','2024-06-04','2024-06-11','https://linktr.ee/Migni_Store','post','https://marketingmigni.com/campaña100097.mp4',0.40,16,1005
100098,'campaña junio 2024','2024-06-11','2024-06-18','https://linktr.ee/Migni_Store','native ad','https://marketingmigni.com/campaña100098.jpg',0.45,17,1005
100099,'campaña inicio junio 2024','2024-06-18','2024-06-25','https://linktr.ee/Migni_Store','video ad','https://marketingmigni.com/campaña100099.mp4',0.30,18,1005
